"Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"http://www.abbeytheatre.co.uk","46536247","Abbey Theatre (England)","672810318"
"http://erofey-arena.com/en/arena/","46234432","Арена «Ерофей»","682060435"
"http://www.artrix.org.uk","47804442","Artrix, Bromsgrove","683562465"
"http://www.fcbanants.am/?page=page&id=12&lang=am","46443829","Banants Training Centre","681430529"
"http://baseballheavenli.com","46302125","Baseball Heaven","661856002"
"http://www.ccisdchallengercolumbia.com/home.html","47350051","Challenger Columbia Stadium","675392202"
"http://www.chisenhaledancespace.co.uk/","46465868","Chisenhale Dance Space","681970507"
"http://www.atletico.com.br/futebol/cidade-galo/","47776869","Cidade do Galo","683154623"
"http://www.rcdmallorca.es/principal_new.php?nombreModulo=contenido&idcontenido=37&idmenu=12&idsubmenu=40","46395184","Ciudad Deportiva Antonio Asensio","656230119"
"http://www.clubatleticodemadrid.com/galerias/ciudad-deportiva-de-majadahonda?modo=vertical","46265141","Ciudad Deportiva Atlético de Madrid","661052552"
"http://www.getafecf.com/Elclub/Instalaciones.aspx","46388047","Ciudad Deportiva Getafe CF","656247374"
"http://www.sevillafc.es/nuevaweb/ciudad_deportiva/ramon_cisneros_palacios","46379884","Ciudad Deportiva José Ramón Cisneros Palacios","680832996"
"http://www.realbetisbalompie.es/es/club/ciudad-deportiva-luis-del-sol/","46379973","Ciudad Deportiva Luis del Sol","680833021"
"http://www.fundacioncordobacf.com/instalaciones.php","46380745","Ciudad Deportiva Rafael Gómez","656086623"
"http://es.levanteud.com/cdeportiva.html","46380618","Ciudad Deportiva de Buñol","656086645"
"http://www.realzaragoza.com/club/ciudad_deportiva","46394825","Ciudad Deportiva del Real Zaragoza","656225794"
"http://www.cdnumancia.com/ciudad-deportiva","46396234","Ciudad del Fútbol Francisco Rubio Garcés","665209445"
"http://www.rcdespanyol.com/es/ciudad-deportiva/","46379199","Ciutat Esportiva Dani Jarque","673003304"
"http://www.okstate.com/facilities/cowgirl-softball-stadium.html","47016170","Cowgirl Stadium","671549965"
"http://coworkatthemichigan.com/","47386871","Cowork at The Michigan","677115337"
