"label","Wikipage page ID"
"2014–15 Nedbank Cup","46876624"
"2015 AFC Women's Futsal Championship",""
"AMF Futsal World Cup 2015",""
"2015 Abierto Tampico",""
"2015 Aegon Eastbourne Trophy",""
"AEGON Ilkley Trophy 2015",""
"AEGON Surbiton Trophy 2015",""
"2015 Asian Weightlifting Championships","47775805"
"Berlin ePrix 2015","46729146"
"2015 Black-Eyed Susan Stakes",""
"Campeonato de Fútbol Playa de Conmebol 2015","45641813"
"Challenger Banque Nationale 2015","45647604"
"2015 Coleman Vision Tennis Championships",""
"Copa Colonia 2015",""
"نهائي كوبا أمريكا 2015",""
"Copa EuroAmericana 2015",""
"2015 Copa de España de Futsal","45661089"
"Финал Кубка Хорватии по футболу 2015","46491448"
"2015 Cupa Ligii Final","46908878"
"2015 Cupa României Final","46867314"
