"label","Geburtsort"
"Brad Rubinstein","http://dbpedia.org/resource/England"
"Brennan Heart",""
"Brent Jones (musician)","http://dbpedia.org/resource/Los_Angeles"
"Brigitte DeMeyer",""
"Brigitte Zarie","http://dbpedia.org/resource/Toronto"
"Bryan Andrew Wilson","http://dbpedia.org/resource/Danville,_Illinois"
"C-Murder",""
"C.K. Morgan","http://dbpedia.org/resource/Germany"
"Cady Groves","http://dbpedia.org/resource/Marlow,_Oklahoma"
"Caitlin Canty",""
"Calvin Bridges (musician)",""
"Carol Chaikin","http://dbpedia.org/resource/California"
"Caroline Schlyter","http://dbpedia.org/resource/Stockholm"
"Casey Calvert",""
"Casey J",""
"Cecy B","http://dbpedia.org/resource/California"
"Cedric Ford","http://dbpedia.org/resource/Chicago"
"Chad Copelin",""
"Chanda Dancy",""
"Charlie Wilson (Musiker)",""
