"label","Wikipage page ID","Wikipage revision ID"
"Bucheron","5022782","677995441"
"Colby-Jack","",""
"Grevé","5179572","569368451"
"Bergkäse","5688492","541688656"
"Bleu des Causses","",""
"Itche Bai","6074039","601714437"
"Morlacco","6214784","620449252"
"Cornish Brie","40865917","673059808"
"Teleme cheese","11578119","554219376"
"Caciotta","7236873","544554377"
"Bergenost","13542323","554313226"
"Rokpol","13091343","676411698"
"Chanco cheese","",""
"Kesong puti","",""
"Oltermanni","13021858","589941681"
"Cup cheese","15692304","539256530"
"艾克斯普羅瑞徹芝士","",""
"Chura","18435949","553942663"
"Clochette","",""
"Fourme d’Ambert","",""
