"label","Wikipage page ID"
"1970 Ancash earthquake","2781718"
"1993 Latur earthquake",""
"1999 Düzce earthquake","3032279"
"1999 Hector Mine earthquake","3742510"
"2001 southern Peru earthquake","3184513"
"2005 Hindu Kush earthquake","3403929"
"2005 Qeshm earthquake","3254467"
"2005 Ruichang earthquake","3282986"
"2006 Greece earthquake","3664168"
"Aardbeving Marianeneilanden 2007","28022920"
"1861 Mendoza earthquake","6333521"
"1875 Cúcuta earthquake","7610823"
"1948 Salta earthquake","6335115"
"1952 San Juan earthquake","6421384"
"1977 San Juan earthquake","6334924"
"1990 Luzon earthquake","6224059"
"زلزال بحر باندا 2006","7572076"
"2006 Gulf of Mexico earthquake","6936562"
"2006 Hawaii earthquake","7459027"
"2006 Pangandaran earthquake and tsunami","5998814"
