"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"https://books.google.it/books?id=Fhm-oed74JgC&pg=PA405&lpg=PA405&dq=Utrechtia+fossil&source=bl&ots=6-VD6Ss7_r&sig=XmG1uEX8PmQ70OQwI8XJYjxHiLU&hl=it&sa=X&ved=0CCMQ6AEwAGoVChMIjoutg6nlxgIV6JzbCh2G4g8I#v=onepage&q=Utrechtia%20fossil&f=false","Utrechtiaceae","672051271","47274199"
"","Cupressus revealiana","678573297","47562629"
"","Glyptostrobus europaeus","679918727","47653700"
"","Abies magnifica","",""
"http://www.conifers.org/pi/Pinus_hwangshanensis.php","Pinus hwangshanensis","663455087","3412557"
"","Pinus nigra","",""
"","Pinus thunbergii","",""
"","Pinus virginiana","",""
"","Podocarpus globulus","",""
"","شوح كاواكامي","",""
"","Calocedrus formosana","",""
"","Cephalotaxus wilsoniana","678920126","11710369"
"","Chamaecyparis formosensis","",""
"","عرعر فورموزي","",""
"","Juniperus horizontalis","",""
"","Juniperus pseudosabina","",""
"","Juniperus squamata","",""
"","Nageia formosensis","",""
"","Nageia nagi","",""
"","تنوب موريسوني","",""
