"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"http://www.lpi.usra.edu/resources/lunarorbiter/mission/?4","Lunar Orbiter 4","643314812","885956"
"http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19780007206_1978007206.pdf","Ranger 6","660134931","884812"
"http://nssdc.gsfc.nasa.gov/imgcat/html/mission_page/EM_Ranger_9_page1.html","Ranger 9","680790183","884843"
"http://space.skyrocket.de/doc_sdat/astra-1k.htm","Astra 1K","618263500","12017241"
"http://www.nasa.gov/mission_pages/station/expeditions/index.html","ISS-Expedition 37","588724302","30899838"
"","Hot Bird 7","611709877","32149190"
"","プログレスM1-9","586270440","23129352"
"http://npp.gsfc.nasa.gov/","RAX-2","644089872","34207767"
"","Soyuz 36","","849625"
"","Soyuz TM-13","","850980"
"","Thor 5","681828388","15670439"
"http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=1993-077A","Telstar 401","660051657","1371905"
"http://www.astronautix.com/craft/ven2vv69.htm","Venera 5","619968627","1324839"
"http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=1972-021A","Venera 8","683323142","1324849"
"","STS-133","661129133","5829815"
"http://www.eearth.tv/?p=1413","STS-135","683612916","20517541"
"","STS-51-L","",""
"","Kosmos 2133","588910159","35547702"
"","Cosmos 268","592265446","23970978"
"","Cosmos 901","591846084","22989828"
