"label"
"Common plantar digital arteries"
"شريان بظري عميق"
"Deep plantar artery"
"Dorsal carpal branch of the ulnar artery"
"Arterias digitales dorsales del pie"
"Dorsal digital arteries of hand"
"شريان بنكرياسي ظهراني"
"Greater pancreatic artery"
"Inferior lateral genicular artery"
"Inferior ulnar collateral artery"
"Interosseous recurrent artery"
"Arterias palpebrales laterales"
"Lateral sacral artery"
"Lateral tarsal artery"
"Medial collateral artery"
"Medial palpebral arteries"
"Median sacral artery"
"Posterior tibial recurrent artery"
"Arterias digitales plantares propias"
"Right gastroepiploic artery"
