"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"Castillo San Felipe","47646988","680337899","http://www.starforts.com/sanfelipecabello.html"
"Voortrekker Fort","47945509","683461186",""
"Voortrekker Fort, Elandsfontein","47963499","683550355",""
"باب العزيزية","","",""
"Belgrade Fortress","","",""
"Fort Cox","","",""
"Fort Drum (El Fraile Island)","","",""
"Fort Fredrick","","",""
"Fort Teremba","","",""
"Fort William, India","908031","680673401",""
"Kadena Air Base","","",""
"Kalinjar Fort","","",""
"Karmir Blur","","",""
"Kavaledurga","37427208","673187111",""
"Khanderi","","",""
"Kolaba Fort","","",""
"Lohatla","","",""
"Murud-Janjira","","",""
"Stony Batter","","",""
"Thalner","","",""
