"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"37982248","http://www.azcardinals.com","677733686","2013 Arizona Cardinals season"
"21512654","","656031383","1926 Kansas City Cowboys season"
"23451568","","564864999","1959 BC Lions season"
"19898338","http://www.pro-football-reference.com/teams/rai/1991.htm","666182341","1991 Los Angeles Raiders season"
"44674928","http://www.thestatguys.com/PIFL/2014/RIC.HTM","638635527","2014 Richmond Raiders season"
"14682468","","668890861","1952 Pittsburgh Steelers season"
"10651649","http://www.clevelandbrowns.com/team/history/year-by-year-results/1958.html","651381135","1958 Cleveland Browns season"
"15093739","","588401621","1968 Washington Redskins season"
"14965818","","676147632","1971 Baltimore Colts season"
"16729071","http://www.pro-football-reference.com/teams/den/1979.htm","587296878","1979 Denver Broncos season"
"15085579","http://www.pro-football-reference.com/boxscores/198411050was.htm","672467042","1984 Washington Redskins season"
"16409266","http://www.amazon.com/Complete-History-Angeles-Raiders-ebook/dp/B00E9DXEU2/ref=sr_1_2?ie=UTF8&qid=1381158899&sr=8-2&keywords=1993+los+angeles+raiders","666182452","1993 Los Angeles Raiders season"
"14971514","","650239982","1968 Baltimore Colts season"
"9399234","http://www.pro-football-reference.com/boxscores/196811030nyj.htm","660156184","1968 New York Jets season"
"8740516","http://www.pro-football-reference.com/boxscores/198509080chi.htm","681882827","1985 Chicago Bears season"
"15124563","","654420312","1950 Washington Redskins season"
"15117018","http://www.databasefootball.com","651484040","San Francisco 49ers 1955"
"10361010","","650245156","1967 Minnesota Vikings season"
"15386442","","660688123","1971 San Diego Chargers season"
"10996618","http://www.pro-football-reference.com/boxscores/199601070kan.htm","683259411","1995 Kansas City Chiefs season"
