"Sterbeort","death place","label"
"http://dbpedia.org/resource/Bangkok","http://dbpedia.org/resource/Bangkok","Ariyavangsagatayana, 16th Supreme Patriarch of Thailand"
"","","Harry Halpern"
"","","Myokyo-ni"
"http://dbpedia.org/resource/Medina","http://dbpedia.org/resource/Medina","محمد بن الحنفية"
"","","Achan Sobin S. Namto"
"","","Enkū"
"","","Hatthaka of Alavi"
"","","Mindrolling Trichen"
"","","ويراثو"
"","","Tampalawela Dhammaratana"
"","","Adam Payne"
"","","Charles Tenshin Fletcher"
"","","Phra Dhammavisuddhikavi"
"","","Sri Sacchidananda Bharati I"
"","","Keidō Fukushima"
"","","Maurine Stuart"
"","","Albert McElroy"
"","","Nanamoli Bhikkhu"
"","","Dragpa Gyeltshen (Zimkhang Gongma)"
"http://dbpedia.org/resource/Odaesan","Sangwon Temple, Odae Mountains, South Korea","Hanam Jungwon"
