"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"47041417","Categoría Primera A 1959","http://www.dimayor.com/","668175320"
"46328536","1963–64 Eintracht Frankfurt season","http://www.dfb.de/index.php?id=97962","665772970"
"46732544","1978–79 Home Counties League","http://www.combinedcountiesleague.co.uk/","663455353"
"46732743","1979–80 Combined Counties Football League","http://www.combinedcountiesleague.co.uk/","663455386"
"46741867","1981–82 Combined Counties Football League","http://www.combinedcountiesleague.co.uk/","663455453"
"46759551","1982–83 Combined Counties Football League","http://www.combinedcountiesleague.co.uk/","663455494"
"46759652","1983–84 Combined Counties Football League","http://www.combinedcountiesleague.co.uk/","663455530"
"46798135","1984–85 Combined Counties Football League","http://www.combinedcountiesleague.co.uk/","664002106"
"46846888","1985–86 Combined Counties Football League","http://www.combinedcountiesleague.co.uk/","664757356"
"47900170","1992-93 Aldershot Town F.C. season","http://www.theshots.co.uk/","683821662"
"46457056","2005–06 Toto Cup Leumit","http://football.org.il/TotoCup/Pages/PriemerLeague.aspx?LEAGUE_ID=630","657300966"
"47930930","2010 Austin Turfcats season","http://www.goifl.com/historic_stats","683032815"
"47827959","2010 Corpus Christi Hammerheads season","http://www.goifl.com/historic_stats","681208417"
"47703346","2010 San Angelo Stampede Express season","http://www.goifl.com/historic_stats","681005355"
"47347328","2013 Brisbane Lions season","http://afl.com.au/","678058846"
"46701474","2013 Salina Bombers season","http://www.salinabombers.com/","662733473"
"46273630","2013–14 Texas Premier Soccer League season","http://www.tpslsoccer.com","672815568"
"46375924","2014 Dodge City Law season","http://www.dodgecityfootball.com/","682243126"
"46701324","2014 Salina Bombers season","http://www.salinabombers.com/","664529622"
"46848596","Erste Liga 2014-2015","http://www.bundesliga.at/index.php?id=434","664793952"
