"Wikipage page ID","Wikipage revision ID","label"
"46286910","677455488","Den Helder Kings"
"46269475","677454225","Rotterdam-Zuid Basketbal"
"46514372","660666508","Back Bay Rugby Club"
"","","Bad Homburg Falken"
"47688714","679241062","Balmazújvárosi KK"
"46673387","","Bandon A.F.C."
"","","Bankstown Bruins"
"45668688","680950737","Barmera-Monash Football club"
"46410028","656468454","Basketball Agia Paraskevi"
"46817190","682739127","Belenos RC"
"","","Berkshire Battalion"
"","","Berlin River Drivers"
"","","Beşiktaş JK Istanbul (Basketball)"
"47029839","671667624","Binh Phuoc F.C."
"47838813","682853941","Biola University Eagles"
"46262674","654228375","Blue Stars Diemen"
"46821327","672793693","Bochum Cricket Club"
"","","Brimsdown F.C."
"","","Brisbane Goannas"
"","","Buckeye Gymnastics"
