"s","Wikipage revision ID","Wikipage page ID","t","label"
"项","660893723","44305291","項","Xiang (surname)"
"","683322887","5603903","","Zidan"
"","643221208","9292683","","Oeser"
"","624285400","13555542","","Černý"
"","526502219","273472","","Klopstock (surname)"
"","674165040","5386969","","كرماني"
"","664863840","5484706","","Pipalia"
"","644045888","5463354","","Sharifi"
"","653223388","5114228","","Micallef"
"","","","","Milardo"
"","632179700","6211141","","Medabalimi"
"","544486714","6254690","","Subercaseaux"
"","","","","Fareedi"
"","546439683","5906396","","Horthy (surname)"
"","641398883","5701057","","Hubik"
"","","","","Jandu"
"","532166367","5853702","","Makur"
"","537157165","5839597","","McDuffee"
"","653745087","6109469","","Naudiyal"
"","601713065","5845382","","Patneedi"
