"Geburtsort","label","Geburtsdatum","birth place"
"http://dbpedia.org/resource/Jaraguá_do_Sul","Bruno Antonio dos Santos","1995-06-13","Jaraguá do Sul, Brazil"
"http://dbpedia.org/resource/Criciúma","Bruno Brigido","1991-03-09","Criciúma, Brazil"
"http://dbpedia.org/resource/Tórshavn","Bárður Hansen","","http://dbpedia.org/resource/Tórshavn"
"http://dbpedia.org/resource/Stockholm","Camilla Lennarth","","http://dbpedia.org/resource/Stockholm"
"http://dbpedia.org/resource/Ontario","Christina Picton","",""
"","Christopher Bell (racing driver)","","http://dbpedia.org/resource/Oklahoma"
"http://dbpedia.org/resource/Brussels","Claire Michel","1988-10-13","http://dbpedia.org/resource/Brussels"
"","Coretta Brown","1980-10-21",""
"http://dbpedia.org/resource/Romania","Cristian Bocșan","","http://dbpedia.org/resource/Romania"
"http://dbpedia.org/resource/Saitama_Prefecture","佐々木大樹 (レーサー)","","http://dbpedia.org/resource/Saitama_Prefecture"
"http://dbpedia.org/resource/Palma,_Majorca","Damià Sabater","1996-02-03","Palma, Spain"
"http://dbpedia.org/resource/Zaporizhia","Игнатенко, Данил Игоревич","","http://dbpedia.org/resource/Zaporizhia"
"http://dbpedia.org/resource/Sandton","Dean O'Brien (tennis)","","Sandton, South Africa"
"http://dbpedia.org/resource/Merseyside","Declan Jones","",""
"http://dbpedia.org/resource/Elburg","Dick Boschman","1974-10-10","Elburg, Netherlands"
"http://dbpedia.org/resource/Buenos_Aires","Diego Matías Rodríguez","","http://dbpedia.org/resource/Buenos_Aires"
"http://dbpedia.org/resource/São_José_dos_Campos","Diogo Sodré","1991-03-21","São José dos Campos, Brazil"
"http://dbpedia.org/resource/Ukraine","Dmytro Anatoliyovych Osadchyi","1992-03-20","http://dbpedia.org/resource/Ukraine"
"http://dbpedia.org/resource/Cherkasy","Dmytro Bilonoh","","http://dbpedia.org/resource/Cherkasy"
"http://dbpedia.org/resource/Ukraine","Dmytro Ivanisenya","",""
