"Wikipage page ID","Wikipage revision ID","label"
"47518909","680652253","Amblyocarenum nuragicus"
"47201613","674753345","Aphonopelma behlei"
"47277360","674749227","Aphonopelma hollyi"
"47144315","669816072","Aptostichus simus"
"47192774","671000897","Argiope aemula"
"47310587","672809114","Ariamnes waikula"
"47179881","670476922","Austrochthonius insularis"
"47546308","676455538","Dermanyssus diphyes"
"47144380","675214235","Hexura rothi"
"47144447","669838700","Hexurella apachea"
"47144481","669850270","Hexurella encina"
"47144463","669838868","Hexurella pinea"
"47144467","669850084","Hexurella rupicola"
"47148489","669943039","Hogna helluo"
"47144557","669869349","Micromygale"
"47144531","669868311","Microstigmata"
"47203979","682357576","Neoheterophrictus sahyadri"
"47194702","673506098","Neoheterophrictus uttarakannada"
"47144567","669872093","Pseudonemesia kochalkai"
"47144578","669872081","Pseudonemesia parva"
