"Wikipage page ID","label","abstract","Wikipage revision ID","EntrezGene"
"47912132","NT5M","5',3'-nucleotidase, mitochondrial, also known as 5'(3')-deoxyribonucleotidase, mitochondrial (mdN) or deoxy-5'-nucleotidase 2 (dNT-2), is an enzyme that in humans is encoded by the NT5M gene. This gene encodes a 5' nucleotidase that localizes to the mitochondrial matrix. This enzyme dephosphorylates the 5'- and 2'(3')-phosphates of uracil and thymine deoxyribonucleotides. The gene is located within the Smith-Magenis syndrome region on chromosome 17.","682741439","56953"
"47350023","RDH13","Retinol dehydrogenase 13 (all-trans/9-cis) is a protein that in humans is encoded by the RDH13 gene. This gene encodes a mitochondrial short-chain dehydrogenase/reductase, which catalyzes the reduction and oxidation of retinoids. The encoded enzyme may function in retinoic acid production and may also protect the mitochondria against oxidative stress. Alternatively spliced transcript variants have been described.","674583373","112724"
"47712820","SPON2","Spondin 2, extracellular matrix protein is a protein that in humans is encoded by the SPON2 gene.","683247689","10417"
"47703842","T cell receptor alpha joining 56","T cell receptor alpha joining 56 is a protein that in humans is encoded by the TRAJ56 gene.","683248195","28699"
"17370250","2',3'-Cyclic-nucleotide 3'-phosphodiesterase","","673021258",""
"","ADP ribosylation factor","","",""
"20548379","ALAS1","","659775056",""
"20548353","ALAS2","","674581009",""
"14170991","ARAF","","674198461",""
"9629714","Adenine nucleotide translocator","","593558980",""
"14800768","Afamin","Afamin is a protein that in humans is encoded by the AFM gene.","674202088",""
"3512034","Angiogenin","","652190428",""
"","Angiopoietin","","",""
"","Anti-Müllerian hormone","","",""
"","Antifreeze protein","","",""
"7330572","Apoptosis-inducing factor","","630754322",""
"","Beta adrenergic receptor kinase","","",""
"2824931","C-Met","","681167747",""
"5624750","C-Raf","","682879252",""
"15029870","CNTRL","Centriolin is a protein that in humans is encoded by the CNTRL gene. It was previously known as CEP110.This gene encodes a centrosomal protein required for the centrosome to function as a microtubule organizing center. The gene product is also associated with centrosome maturation. One version of stem cell myeloproliferative disorder is the result of a reciprocal translocation between chromosomes 8 and 9, with the breakpoint associated with fibroblast growth factor receptor 1 and centriolin.","659858603",""
