"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"York Community Stadium","47643812","680497449","http://www.yorkcommunitystadium.co.uk/"
"Club Portland","47281119","672213585",""
"Comedy Theatre (New York City)","47456754","",""
"Egyptian Club","47283818","",""
"Jiggles","47511424","678170136","http://www.tualatinoregon.gov/sites/default/files/fileattachments/planning/calevents/17364/agenda_packet_12.3.13.pdf"
"Philippine Sports Center","47322920","675883171",""
"Red Cap Garage","47281556","672280227",""
"Southbank Theatre","47200076","671785225","http://www.mtc.com.au/your-visit/southbank-theatre/"
"Williamsburg Cinemas","47529486","676701734","http://www.williamsburgcinemas.com/"
"Amazingrace Coffeehouse","47340670","677114362","http://www.concertvault.com/search.html?t=amazingrace&tb=0&sort=performer"
"Dandenong Stadium","47976971","683462390",""
"Estadio de Costorbe","47138647","670204897",""
"Hipódromo de la Castellana","47113658","670019460",""
"Loew's Valencia Theatre","47728352","680940235",""
"Manchester Meadows Soccer Complex","47339472","675347633",""
"Rusk County Expo Center","48001429","683854257","http://visithendersontx.com/attractions/rusk-county-expo-center/"
"SNU Stadium","47725215","679643117",""
"Stadio Costante Girardengo","47871855","681792790","http://site.novesecalcio.it/lo-stadio/"
"State Basketball Centre","47977068","683440555",""
"Teatro Royal Center","47386644","683033310",""
