"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"Alestra","46716736","665586646","http://www.alestra.com.mx/"
"Alianza Editorial","46845531","666656749","http://www.alianzaeditorial.es/"
"Alicat Scientific","46836838","674160367",""
"All India Mixed Martial Arts Association","46865761","676321986","http://www.ammai.in/"
"Allsec Technologies","47688705","683603862","http://www.allsectech.com"
"Alma littera","46213083","654602152","http://www.almalittera.lt"
"AlphaPoint","46811162","680705443","http://alphapoint.com"
"Alpha Unmanned Systems","46951431","682474958","http://www.alphaunmannedsystems.com"
"AltiGator","47754837","683419369","https://www.altigator.com/en/"
"Alumasc Group","46959285","682326558","http://www.alumasc.co.uk/home"
"Aluu Airlines","","",""
"Amar Audio","47003335","680512031","http://www.amaraudio.in"
"Amaryllo","47796548","683955669","http://www.amaryllo.eu/"
"Amazing film studio","47352509","683707225","https://www.facebook.com/amazingfilmstudio/"
"America's Swimming Pool Company","46344220","681647146","http://www.asppoolco.com/"
"American Energy Partners, LP","47721604","681675023","http://www.americanenergypartners.com"
"American Logic Machines","47796883","680886261","http://alm-net.com"
"American Realty Advisors","45690148","665212166","http://www.americanreal.com"
"Amu Power Company","46951314","668431214",""
"Anderson-McQueen","46632755","671806189","http://www.andersonMcQueen.com"
