"label","Wikipage page ID"
"星のウイッチ","47491285"
"Trick 'r Treat: Days of the Dead",""
"嘘喰い","47524337"
"",""
"",""
"Akane-chan","47877801"
"Batman/Teenage Mutant Ninja Turtles","47775460"
"Black Joke (manga)","47564720"
"Bungō Stray Dogs","47579767"
"",""
"",""
"Dagashi Kashi","47869479"
"",""
"Good Morning Althea","47350678"
"James Bond 007: Serpent's Tooth","47879432"
"James Bond 007: VARGR","47860605"
"",""
"いとしのムーコ","47090660"
"Mahō Shōjo Ikusei Keikaku","47763264"
"Millennium (2015 comic book)","47710035"
