"label","body style","Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page"
"BYD Tang","Sport utility vehicle","678429862","47390318","http://www.bydauto.com.cn/car-360-tang.html"
"Fiat Aegea","","683490642","47651061","http://aegea.fiat.com.tr/"
"Rolls-Royce Dawn (2015)","2","683897826","47764268","https://www.rolls-roycemotorcars.com/en-GB/dawn.html"
"Venturi Astrolab","","665574816","46494505","http://en.venturi.fr/vehicles/venturi-range/astrolab/overview"
"Baojun 730","5","678771887","47430741","http://www.sgmw.com.cn/730/"
"كوينيجسيج ريغييرا","","678429912","45434724",""
"A.L.F.A. 12 HP","","679607565","47530054",""
"A.L.F.A. 15 HP","","681278872","47508595",""
"AWF8F35","","681320106","47291298",""
"Dodge Wayfarer","","670831359","47147779",""
"Fiat 28-40 HP","2","682744758","47171558","http://www.grandprixhistory.org/fiat130.htm"
"Mercedes-Benz Baureihe 213","","","",""
"Proton P4-28B","4","683785748","47218152","http://www.proton.com/"
"Alfa Romeo 450","","682583006","47901694","http://www.trucksplanet.com/catalog/model.php?id=1076"
"Alpine A110-50","2","683131475","47917297",""
"Ashok Leyland MiTR","Bus","680031793","47734785",""
"BMW G11","4","683959032","47585951",""
"Borgward BX7","","682236425","47787069",""
"Daimler Twenty-Two","","682202850","47876704",""
"Datsun 160Z","2","675377752","47374632","http://www.160z.co.za"
