"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"47858476","&pizza","http://www.andpizza.com","682697529"
"","1. FC Bruchsal","",""
"","1. FC Lübars","",""
"46492191","100% NL","http://www.100p.nl/","683772294"
"","13i","",""
"","16 Handles","",""
"","1977 (band)","",""
"47726797","1MISSION","http://1mission.org/","679560165"
"47672653","1 Regiment RLC","http://www.army.mod.uk/logistic/regiments/24861.aspx","678646085"
"46828437","1st Arkansas Cavalry Battalion (Stirman's)","","683154127"
"46443982","1st Lagos State House of Assembly","http://www.lagoshouseofassembly.gov.ng","682613434"
"46816861","MVV Maastricht in het seizoen 2013/14","","671441979"
"","2015 IPC Swimming World Championships","",""
"","Pro12 2015/16","",""
"","208 Talks of Angels","",""
"47730501","24hrkpop","http://24hrkpop.com","680626414"
"46443390","2nd Lagos State House of Assembly","http://www.lagoshouseofassembly.gov.ng","670116173"
"46778236","33 FC Budapest","",""
"46341305","33m2 (33 square meters) - DIY retail network","",""
"46445633","360 Golf Holidays","http://www.360golfholidays.com","657362091"
