"label","Wikipage page ID","Wikipage revision ID"
"Anaesthetis flavipilis","47165278","672520943"
"Anaesthetis lanuginosa","47165280","672521264"
"Anaesthetis lepida","47165281","672521438"
"Anaesthetobrium fuscoflavum","47165324","672521617"
"Anaesthetobrium javanicum","47165327","672521758"
"Anaesthetobrium lieuae","47165329","672525679"
"Anaesthetobrium luteipenne","47165331","678678966"
"Anarsia acerata","47182892","670486053"
"Anarsia aleurodes","47182893","670486292"
"Anarsia altercata","47182895","670486516"
"Anarsia amegarta","47182896","670486847"
"Anarsia anthracaula","47182897","670487178"
"Anarsia arachniota","47182913","680755278"
"Anarsia asymmetrodes","47182967","670488631"
"Anarsia austerodes","47141480","670181786"
"Anarsia beitunica","47182946","670491061"
"Anarsia belutschistanella","47182977","670491885"
"Anarsia bimaculata","47182980","670501478"
"Anarsia bipinnata","47182983","670492424"
"Anarsia chaonella","47182985","670492612"
