"Wikipage revision ID","Wikipage page ID","created","type","operator","label","Link from a Wikipage to an external page","status"
"683001539","47488585","1996","County","http://dbpedia.org/resource/Howard_County,_Maryland","Rockburn Branch Park","http://www.howardcountymd.gov/rockburnbranchpark.htm","Open"
"681147090","47251770","","","","Salkhan Fossils Park","",""
"680150678","47178136","","","","Wenonah Park","",""
"672562260","47305723","","","","Wormholt Park","http://friendsofwormholtpark.org.uk/",""
"683745912","47998214","","","","Manyawar Shri Kanshiram Ji Green Eco Garden","http://www.buzzintown.com/lucknow/venues/manyawar-shri-kanshiram-ji-green-eco-garden-jail/segment--events/id--73084.html","open"
"677530004","47564773","","","","Overlook Memorial Park (Prattville, Alabama)","",""
"681484948","47800309","","","","Son View Point","http://www.easternuptourism.com/?p=6803",""
"683475621","47959613","","","","Stok buddha statue","","Under A Leaf"
"681707459","47582638","","","","Vennelystparken","",""
"682169595","47868662","","","","Weras Ganga Park","",""
"","","","","","Fort Canning","",""
"","","","","","Fort Denison","",""
"","","","","","星和園","",""
"","","","","","Cibodas","",""
"","","","","","National Kandawgyi Botanical Gardens","",""
"","","","","","Pari Mahal","",""
"","","","","","Queens Domain","",""
"","","","","","Singapore Botanic Gardens","",""
"","","","","","Western Springs","",""
"","","","","","Battle Island State Park","",""
