"label","Geburtsdatum"
"Mikhail Semernya","1970-02-20"
"Mohammad Reza Mohajeri",""
"Mohammed Abdul Hussein",""
"Nelson Soto",""
"Nizar Abdul Zahra",""
"Мирный, Олег Павлович","1963-04-08"
"Oleg Sizov",""
"Oleksandr Koval",""
"Oriol Alsina","1967-08-21"
"Paul Olsson","1965-12-24"
"Paulo Miranda de Oliveira",""
"Peter Balette",""
"R. S. Moyes",""
"Refik Osman Top",""
"Richard Orlans",""
"Баранов, Роман Владимирович (футболист)",""
"Samuel Elijah",""
"Sergei Markin","1966-05-14"
"Sergei Smelov",""
"Трубицин, Сергей Александрович",""
