"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"894707","Cervical plexus","http://kobiljak.msu.edu/cai/ANT551/Unit02/Topic04/U2_L4_O6.html","681084262"
"","Stylohyoid branch of facial nerve","",""
"","Superficial branch of radial nerve","",""
"3169282","Superficial peroneal nerve","","671137987"
"","Renal plexus","",""
"","Ovarian plexus","",""
"","Perineal branches of posterior femoral cutaneous nerve","",""
"","Iliohypogastric nerve","",""
"","Spinal root of accessory nerve","",""
"5508188","Obturator internus nerve","","642513362"
"","Posterior scrotal nerves","",""
"","Infraorbital nerve","",""
"5120412","Lumbosacral plexus","","657014833"
"","Thoracic splanchnic nerves","",""
"","Cervical branch of the facial nerve","",""
"","Nerve to the stapedius","",""
"","Hepatic branches of anterior vagal trunk","",""
"","Lumbar ganglia","",""
"","Posterior branches of the lumbar nerves","",""
"","Renal branches of vagus nerve","",""
