"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"46182384","イワヒバ","http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?413787","667950858"
"17114646","Haplostigma","","455018934"
"42780052","Selaginella tortipila","","630100085"
"2031589","Isoetopsida","","613420806"
"46182548","Selaginella erythropus","http://eol.org/pages/6080501/overview","652797974"
"28040862","Selaginella eremophila","http://calphotos.berkeley.edu/cgi/img_query?query_src=photos_index&where-taxon=Selaginella+eremophila","559464298"
"","Lycopodium","",""
"32430965","Lycopodium magellanicum","","673301842"
"27718013","コンテリクラマゴケ","http://data.gbif.org/species/13726713/","681852588"
"46775463","Diphasiastrum × sabinifolium","","668570030"
"2155495","Huperzia megastachya","",""
"2112762","Selaginella bryopteris","","655026616"
"42549501","Zypressen-Flachbärlapp","","682681825"
"1922973","Diphasiastrum","http://homepages.caverock.net.nz/~bj/fern/lycopodium.htm","646317666"
"1923089","Lycopodiella","http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=119157","574221443"
"1932466","Phylloglossum","https://www.anbg.gov.au/photo/apii/id/p/274","669273623"
"","Lepidodendron","",""
"14806296","Isoetes appalachiana","","679697684"
"15475060","Isoetes melanospora","",""
"15427874","Isoetes tegetiformans","",""
