"Wikipage revision ID","Wikipage page ID","continent","label"
"681251371","47294771","FIBA Asia","Countrywide Basketball League"
"","47487065","","Pilipinas Commercial Basketball League"
"677817399","47596031","","Arab Nations Basketball Championship"
"","","","Coupe arabe des clubs champions de basket-ball féminin"
"678733162","47678038","","Bydgoszcz Basket Cup"
"","","","ABA League"
"","","","American Basketball Association (2000–present)"
"","","","Australian Basketball Association"
"","","","Basketball Association of America"
"673060789","27287914","","中華職業籃球聯盟"
"","","","Chinese Basketball Association"
"","","","Continental Basketball Association"
"","","","International Basketball League"
"","","","International Basketball League (1999–2001)"
"676265995","2315496","","Turkish Basketball Super League"
"683893705","5685143","","YUBA League"
"681173366","33317712","","Battle 4 Atlantis"
"679896960","32658832","","FIBA Africa Under-16 Championship"
"683006493","36558298","","الدوري اللوكسمبورغي لكرة السلة"
"","","","ULEB"
