"label","Wikipage page ID","Link from a Wikipage to an external page","family","Wikipage revision ID"
"Civity","45678288","http://www.caf.es/en/index.php","Civity","674592968"
"Sanyo 6000 series","46753235","http://www.sanyo-railway.co.jp/media/1432015565.pdf","","663190057"
"Hitachi small-type monorail (Sentosa Express)","47600568","http://www.monorails.org/tMspages/CnstSentosa01a.html","","683613249"
"京阪7200系電車","45377191","http://www.keihan.co.jp/traffic/railfan/vehicle/7200.html","","646759505"
"Seibu 40000 series","47616936","http://www.seibu-group.co.jp/railways/news/news-release/2015/__icsFiles/afieldfile/2015/08/24/20150824_40000kei.pdf","","677867235"
"Bombardier INNOVIA APM 100 C801","47505311","http://www.sgtrains.com/train-c801.html","http://dbpedia.org/resource/Bombardier_Innovia_APM","682807076"
"Bombardier INNOVIA APM 100 C801A","47505193","http://sgwiki.com/wiki/Bombardier_INNOVIA_C801A","http://dbpedia.org/resource/Bombardier_Innovia_APM","682968204"
"智頭急行HOT7000系気動車","47456902","http://www.g-mark.org/award/detail.html?id=34601","","675696747"
"伊予鉄道700系電車","47546029","","","681471723"
"RŽD-Baureihe ЭС1","47499048","http://parovoz.com/newgallery/index.php?SHOW_ALL=1&LNG=RU&DESCR=ЭС2Г-","","682405896"
"Siemens-Schuckert Orenstein & Koppel","47308601","","","683130141"
"Siemens S200","47259492","","","683411086"
"Unidad eléctrica múltiple CSR (Mitre y Sarmiento)","47117942","","","681441857"
"ЭШ2","47585852","http://trainpix.org/list.php?mid=1430","","681275326"
"Georgian Railways Class VMK EMU","47873154","","","683362753"
"KTM Class 94","47075505","","","679733490"
"Kawasaki Heavy Industries & CSR Sifang C151C","47898141","","","682976590"
"Korail Class 210","47796307","","","681567528"
"RATP-Baureihe MS 61","47338623","","","677424017"
"Meitetsu 1380 series","47695229","http://www.meitetsu.co.jp/train/guidance/museum/rolling_stock/detail/1380.html","","681277270"
