"Geburtsort","birth place","label"
"http://dbpedia.org/resource/Ondo_State","http://dbpedia.org/resource/Ondo_State","Kofoworola Oladoyinbo Ojomo"
"","","Margit (Erzsébet) Szilágyi"
"","","Maria Eutokia Toaputeitou"
"","","Ogburn Chapel Missionary Baptist Church"
"","Ondo, South-Western Nigeria","Olowo Rerengejen"
"","","Orsolya Szilágyi"
"http://dbpedia.org/resource/Kyoto","","阿保親王"
"http://dbpedia.org/resource/San_Francisco","http://dbpedia.org/resource/San_Francisco","Prince Alexis Romanov"
"","","Prince Francesco Natoli"
"","","Prince Giovanni II Natoli"
"http://dbpedia.org/resource/Bahadur_Bhawan","","Princess Helen Shah of Nepal"
"","","Princess Ito"
"","","Princess Jayanti of Nepal"
"","","Princess Princep Shah of Nepal"
"","","Prithwi Malla"
"","","Raghunath Singha Dev"
"","","Raghunath Singha Dev II"
"","","Ratnadhwajpal"
"","","Shiv Singh Malla"
"","","Wafa Hasher Al Maktoum"
