"label","birth place","Geburtsdatum","Geburtsort"
"Kevin Dowling (darts player)","http://dbpedia.org/resource/Scotland","1965-07-28","http://dbpedia.org/resource/Scotland"
"Alan Bolton (darts player)","http://dbpedia.org/resource/New_Zealand","","http://dbpedia.org/resource/New_Zealand"
"Ann-Louise Peters","http://dbpedia.org/resource/Denmark","1975-02-03","http://dbpedia.org/resource/Denmark"
"Mark Frost (darts player)","","",""
"Bruno Raes","","",""
"James Wade","","",""
"Johnny Haines","http://dbpedia.org/resource/Swindon","1964-07-19","http://dbpedia.org/resource/England"
"Ryan de Vreede","http://dbpedia.org/resource/Netherlands","1992-09-01","http://dbpedia.org/resource/Netherlands"
"Vincent van der Voort","","",""
"Ronnie Davies","","",""
"Kevin White (darts player)","","",""
"Jerry Umberger","","",""
"Josephus Schenk","","",""
"Kari Saukkonen","","",""
"Paul Carter (darts player)","","",""
"Ray Kippari","","",""
"Robert MacKenzie (darts player)","","",""
"Joey ten Berge","","",""
"Ben Ward (darts player)","","1988-12-10",""
"Jani Haavisto","http://dbpedia.org/resource/Finland","1987-05-11","http://dbpedia.org/resource/Finland"
