"label","Wikipage page ID","Wikipage revision ID","C"
"ADB-FUBICA","47264046","671900743","22"
"ADSB-FUB-187","47188258","679070362","26"
"AMB-CHMINACA","47298258","672444414","21"
"AMB-FUBINACA","47297225","672424816","21"
"APP-FUBINACA","47249688","671639333","24"
"BIM-018","47327318","672895856","23"
"CUMYL-PICA","47188612","678637415","23"
"CUMYL-PINACA","47210767","678637420","22"
"CUMYL-THPINACA","47210665","683539864","23"
"Cyanidin-3,5-O-diglucoside","47306429","672706256",""
"Cytosine glycol","47292348","673190531",""
"Dihydrotetrabenazine","47174492","674614098",""
"Dimethylaminopivalophenone","47940082","683936082","13"
"Dimethyldiborane","47176084","677144859",""
"Emicerfont","47504867","675725532","22"
"Epipregnanolone","47549773","682020296",""
"FAB-144","47312090","672649256","20"
"FDU-NNE1","47318323","672750095","26"
"FDU-PB-22","47318157","683540053","26"
"FUB-144","47312169","672783128","23"
