"Wikipage revision ID","label","Wikipage page ID"
"663212692","1924年8月30日日食","25592531"
"672742559","Sonnenfinsternis vom 26. Januar 2028","25286168"
"659432975","2070年4月11日日食","25495830"
"659433819","1914年2月25日日食","25592728"
"655090134","2036年2月27日日食","25287243"
"659434431","Sonnenfinsternis vom 1. Juli 2000","25163775"
"659436251","1946年11月23日日食","25581630"
"669102519","2061年10月13日日食","25465671"
"663212585","2036年8月21日日食","25287254"
"659434332","1946年1月3日日食","25581765"
"655090889","1935年7月30日日食","25529456"
"655091760","2058年5月22日日食","25465650"
"655089842","2065年12月27日日食","25476222"
"672742665","Sonnenfinsternis vom 1. Juni 2030","25209072"
"663212526","1906年8月20日日食","25579687"
"655089905","Éclipse solaire du 5 décembre 2048","25260217"
"659434249","Sonnenfinsternis vom 26. Januar 1990","25284888"
"655091502","2090年3月31日日食","25531726"
"659435774","1920年5月18日日食","25593060"
"659435883","2096年5月22日日食","25208584"
