"label","Wikipage page ID"
"Special Jurisdiction of the Armed Forces and Chaplaincy","47932849"
"Diocese of Churches for the Sake of Others",""
"Exarchat apostolique du Canada pour les fidèles de rite syro-malabar","47461471"
"Apostolic Prefecture of Vichada",""
"Maronite Catholic Archeparchy of Cyprus",""
"Maronite Catholic Eparchy of Cairo",""
"Anglican Diocese of San Joaquin (ACNA)",""
"Diocese of Niagara",""
"Diocese of Sodor and Man",""
"Episcopal Diocese of Eau Claire",""
"Episcopal Diocese of Fond du Lac",""
"Episcopal Diocese of San Joaquin",""
"Erzbistum Mecheln-Brüssel",""
"Bistum Alife-Caiazzo",""
"Roman Catholic Diocese of Basel",""
"Bistum Bathurst (Australien)",""
"Bistum Dori",""
"Bistum Faro",""
"Bistum Fukuoka",""
"Roman Catholic Diocese of Green Bay",""
