"Geburtsort","Sterbedatum","death place","birth place","Sterbeort","label"
"http://dbpedia.org/resource/Taungoo","1602-11-21","http://dbpedia.org/resource/Inwa","http://dbpedia.org/resource/Taungoo","http://dbpedia.org/resource/Inwa","Thiri Yaza Dewi"
"","2005-06-02","http://dbpedia.org/resource/Amman","","http://dbpedia.org/resource/Amman","Thuqan hindawi"
"","","","","","Tar Zerind"
"http://dbpedia.org/resource/Lagos","1964","","Lagos, Nigeria","http://dbpedia.org/resource/Lagos","Adeniji Adele"
"http://dbpedia.org/resource/Ondo_State","2003-05-31","","http://dbpedia.org/resource/Ondo_State","","Agboola Ojomo Agunloye"
"","","","","","Bir Malla"
"","0932","","","","Colla ua Báirid"
"","","","","","Dhari Hambir Malla Dev"
"","","","","","Dhari Malla"
"","","","","","Dinabandhu Malla"
"http://dbpedia.org/resource/Recife","","","http://dbpedia.org/resource/Recife","","Dorrit Reventlow"
"","","","","","Durjan Singha Dev"
"http://dbpedia.org/resource/Nnewi","1862","Igwe palace Nnewi","","http://dbpedia.org/resource/Nnewi","Eze Ukwu"
"","1952-12-06","http://dbpedia.org/resource/Madrid","","http://dbpedia.org/resource/Madrid","Francisco de Borbón y de la Torre"
"","","","","","Gopal Singha Dev"
"","","","","","Hairan I"
"http://dbpedia.org/resource/Iran","1576-05-14","Qazvin, Iran","","http://dbpedia.org/resource/Qazvin","Haydar Mirza Safavi"
"http://dbpedia.org/resource/Nnewi","1891","Igwe palace Nnewi","","http://dbpedia.org/resource/Nnewi","Igwe Okafo"
"","0910","Tettenhall, Mercia","","http://dbpedia.org/resource/Tettenhall","Ingwær"
"","","","","","John Rozgonyi"
