"label","Geburtsdatum"
"Alexandra Cardenas","1976"
"Alexandra Curtis","1991-12-19"
"Alexandra Lúgaro","1981-06-10"
"Alexis Spight",""
"Alfred Rozelaar Green",""
"Alfredo Olivas","1994-10-01"
"Ali A Olomi",""
"Ali Wallace","1993-09-08"
"Alicia Kozakiewicz","1988-03-23"
"Aliko Bala",""
"アレン・ハインズ",""
"Altaf Hussain (politician)",""
"Alvaro Luna Hernandez","1952-05-12"
"Alyssa Howell",""
"Aman Trikha",""
"Amanda Coplin",""
"Amanda Milling",""
"Amanda Oleander","1989-12-02"
"Amanda Russell",""
"Amanda Solloway",""
