"label","Wikipage page ID","Wikipage revision ID"
"Papua-Neuguinea-Erdbeben 1998","10417124","678762728"
"Erdbeben von Gölcük 1999","",""
"2002 Hindu Kush earthquakes","10166893","671606176"
"Terremoto del Molise del 2002","10168028","670589566"
"2007 Iberian Peninsula earthquake","",""
"2007 Kent earthquake","",""
"2007 Kuril Islands earthquake","8899053","667418967"
"Erdbeben bei den Salomonen 2007","10411095","677310006"
"Terremotos de El Salvador de 2001","10161653",""
"Terremoto di Catania del 1169","36248435",""
"1222 Brescia earthquake","46633720","682730818"
"Trzęsienie ziemi na Bałkanach (1979)","18893748","659455814"
"Séismes de 2007-2008 à Nazko","",""
"زلزال سيتشوان 2013","39162888","682310674"
"Effect of the 2004 Indian Ocean earthquake on Indonesia","1354747","683661448"
"Effect of the 2004 Indian Ocean earthquake on Sri Lanka","1354806","683661648"
"Erdbeben von Concepción 1570","19001024",""
"Séisme de 1663 dans Charlevoix","",""
"Séisme de 1732 à Montréal","19680767","644951138"
"Séisme de 1925 dans Charlevoix-Kamouraska","19715571","639770496"
