"label","birth place"
"Alex Minsky","Orange County, California, U.S.A"
"Boban Trajkovski","http://dbpedia.org/resource/Kumanovo"
"Charles L. Munns","Minneapolis-St. Paul, MN"
"Dejan Denkovski","http://dbpedia.org/resource/Kumanovo"
"Edmund Daser",""
"Edwin Ramsey","http://dbpedia.org/resource/Carlyle,_Illinois"
"Ernst Jansa","Prague, Bohemia"
"Francesco Maria Scala","http://dbpedia.org/resource/Italy"
"Gino Polli","Milan, Italy"
"Hans Buchholz",""
"Harold G. Bowen, Sr.","http://dbpedia.org/resource/Providence,_Rhode_Island"
"Noah Galloway","Birmingham, Alabama, U.S."
"Oliver Petrushevski",""
"Pierre-Henri Philibert","http://dbpedia.org/resource/Réunion"
"William Frederick Harris","http://dbpedia.org/resource/Lexington,_Kentucky"
"Art Nalls","http://dbpedia.org/resource/Fairfax_County,_Virginia"
"Christopher J. Grisham","Temple, Texas, U.S."
"Fritz Fliegel",""
"Justin Constantine",""
"Vicente S. Santos, Jr.",""
