"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"47755009","681276108","Ang Mo Kio - Thye Hua Kwan Hospital","http://www.amkh.com.sg/"
"","","Believers Church Medical College Hospital",""
"","","Case Medical Centre",""
"46243049","670156910","Charles B. Wang Community Health Center",""
"46901977","675800219","Children's Health (health care system)","http://www.childrens.com"
"47773135","682373287","Clifford Hospital",""
"46912689","677165345","Colonial War Memorial Hospital",""
"46740555","671548628","Fieldhead Hospital","http://www.southwestyorkshire.nhs.uk/"
"45667935","680499223","Government General Hospital, Nizamabad","http://www.gmcnzbd.org/"
"46630161","664473604","Great North Children's Hospital",""
"45651973","","Herz- und Diabeteszentrum Nordrhein-Westfalen",""
"46587545","660568571","Hialeah Hospital","https://www.hialeahhosp.com/"
"47705740","679213010","Integris Health","http://integrisok.com"
"","","Kampala Hospital",""
"47397327","680787034","Kingsbrook Jewish Medical Center",""
"46649383","","Maia Institute",""
"","","Nakasero Hospital",""
"","","National University Cancer Institute, Singapore",""
"47317811","679653097","Northern Westchester Hospital","http://www.nwhc.net"
"46430781","668122610","Paoli Hospital",""
