"label","Wikipage page ID"
"Amy Williams (Neighbours)","46925892"
"Andy Barrett",""
"Ani Bezzerides",""
"Buddy Goode",""
"Denny Miller (Home and Away)","47808627"
"Hannah Wilson (Home and Away)",""
"Himari Noihara",""
"List of Neighbours characters (1997)","46923843"
"Maicha wo Baucha",""
"Nate Kinski",""
"Nina Dotti","46952367"
"Oscar MacGuire",""
"Phoebe Nicholson",""
"Juan Chapín","45352846"
"Tyler Brennan",""
"AlDub",""
"Breathless Mahoney",""
"Devon Hamilton and Hilary Curtis",""
"Fu Manchu (comics)",""
"Harry Chess",""
