"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"7 Little Johnstons","47932432","682787157","http://www.tlc.com/tv-shows/7-little-johnstons/"
"8MMM Aboriginal Radio","46326197","683392281","http://www.abc.net.au/tv/programs/8mmm/"
"90 Minutes in Heaven (film)","","",""
"9 By Design","47683884","681724516","http://www.bravotv.com/9-by-design"
"A.D. The Bible Continues","46273104","683280749",""
"AKB48 SHOW!","47373535","683843321","http://www.nhk.or.jp/akb48show"
"AMzer: Seasons","47881656","682669547","http://www.alanstivell.bzh/language/en/"
"AOTY","46417062","659279353","http://www.albumoftheyear.org/"
"ASN Neuro","46388206","",""
"Un cuento de bailarinas","46432077","",""
"世界青年说","46337732","682958864",""
"Grossesse sous surveillance","46946626","679000125","http://www.mylifetime.com/movies/a-deadly-adoption/about"
"A Donkey, 3 Rocks, and a Bird.","","",""
"A Fistful of Gun","46312658","",""
"A Gota Suspensa","47394822","682349193",""
"美味的想念","46435356","680433713","http://blog.iset.com.tw/miss/"
"A Horse Called Bear","","",""
"A Patriot's Act","","",""
"A Paying Ghost","46460176","671069331","http://pgthefilm.com/"
"A Place Like This (EP)","46797457","",""
