"label","Geburtsort"
"Ahmet Enes","http://dbpedia.org/resource/Turkey"
"Aidan Key","http://dbpedia.org/resource/Kalamazoo,_Michigan"
"Aika Ando","http://dbpedia.org/resource/Tokyo"
"Ailsa A. Welch",""
"Aina More",""
"Airavt","http://dbpedia.org/resource/Bikaner"
"古川愛李","http://dbpedia.org/resource/Aichi_Prefecture"
"谷川愛梨","http://dbpedia.org/resource/Osaka_Prefecture"
"Ajay Chandrakar","http://dbpedia.org/resource/Kurud"
"Ajay Srinivasan",""
"Ajit Johnson","http://dbpedia.org/resource/Chennai"
"Aka Plu","http://dbpedia.org/resource/Ibaraki_Prefecture"
"吉田朱里","http://dbpedia.org/resource/Osaka_Prefecture"
"Akhil Mehta","http://dbpedia.org/resource/New_Delhi"
"Akie Asaka","http://dbpedia.org/resource/Ōita,_Ōita"
"塩野瑛久","http://dbpedia.org/resource/Tokyo"
"菊池亜希子","http://dbpedia.org/resource/Ōno,_Gifu"
"Akira Inoue","http://dbpedia.org/resource/Tokyo"
"Ala Younis",""
"Alan Aguerre","http://dbpedia.org/resource/Buenos_Aires"
