"Wikipage page ID","Wikipage revision ID","label"
"39234092","643143051","Goode Glacier"
"","","Gooseneck Glacier"
"37543616","663248150","Gotchen Glacier"
"","","Granite Glacier"
"","","Grant-Gletscher"
"39234498","643143150","Grant Glacier (Washington)"
"","","Grasshopper Glacier (Montana)"
"","","Grasshopper Glacier (Wyoming)"
"","","Gray Wolf Glacier"
"","","Grewingk Glacier"
"","","Grinnell Glacier"
"37397381","543737748","Hadley Glacier"
"","","Harding Icefield"
"38980207","679079403","Harper Glacier (Alaska)"
"","","Harriman Glacier"
"","","Harris Glacier"
"","","Harrison Glacier"
"","","Harrower Glacier"
"","","Harvard Glacier"
"36444821","642994154","Glacier Hayden"
