"Wikipage revision ID","label","Wikipage page ID"
"678694744","Australian Defence Veterans Party","47629463"
"","Bangladesh Islami Chattra Sena Pomara Mahattarkil Branch",""
"","Catalonia Yes We Can","47248573"
"","Koalition der Erneuerung der Republik Freiheit und Hoffnung",""
"676000540","Communists of Catalonia","47515376"
"675813229","Corriente Roja","47195819"
"673253501","Country Party of Australia (founded 2014)","45458262"
"668725421","Democratic Nyborg","47077647"
"677005333","Demócratas de Cataluña","47231556"
"","Endavant","47544048"
"683907172","European People's Party of Moldova","47282373"
"683454068","Human Blockade","47624754"
"674479501","Lucha Internacionalista","47196046"
"","Jafaria Students Organization Pakistan",""
"683522236","Kukiz’ Bewegung","47330351"
"683183161","モンゴル自由連盟党","47075395"
"","Movemento pola Base","45314414"
"675595235","NETWORK (Slovak party)","47481186"
"662494526","North East Party","45464389"
"","Patriotic Party (Turkey)",""
