"Wikipage revision ID","Link from a Wikipage to an external page","label","Wikipage page ID"
"674026189","http://www.ayalatriangle.com/gardens","Ayala Triangle Gardens","46920264"
"665411436","http://nysparks.com/parks/187/details.aspx","Brentwood State Park","46886668"
"665412776","http://nysparks.com/parks/191/details.aspx","Buffalo Harbor State Park","46394045"
"682259571","http://www.erdemarchitects.com","Elazığ Education Campus","46998364"
"660898270","http://charmeck.org/mecklenburg/county/ParkandRec/Parks/ParkPlanning/Pages/FirstWard.aspx","First Ward Park","46373674"
"677585579","http://www.erdemarchitects.com","Forensic Science Institute of Turkey","46997081"
"682336602","http://www.thprd.org/parks-and-trails/detail/tualatin-hills-nature-park","Howard M. Terpenning Recreation Complex","47830180"
"677724272","http://www.lyon.fr/lieu/patrimoine/parc-de-la-cerisaie.html","Parc de la Cerisaie","46959729"
"670742709","http://www.youtube.com/watch?v=vhpNHom7MTY","Parque fluvial Padre Renato Poblete","45680817"
"680676815","https://www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/sisters-islands-marine-park","Sisters' Island Marine Park","46274551"
"652830178","http://www.birmingham.gov.uk/cs/Satellite?c=Page&childpagename=Parks%2FPageLayout&cid=1223102817945&pagename=BCC%2FCommon%2FWrapper%2FWrapper","Swanshurst Park","45662843"
"665055274","http://www.tropicalranchbotanicalgardens.com","Tropical Ranch Botanical Garden","46688868"
"682665212","http://www.thprd.org/parks-and-trails/detail/tualatin-hills-nature-park","Tualatin Hills Nature Park","47749359"
"651808759","http://www.warleywoods.org.uk/","Warley Woods","45655024"
"676001319","http://adelaidefilmfestival.org/affif/","Adelaide Film Festival Investment Fund","45366999"
"650557216","http://www2.erie.gov/parks/index.php?q=akron-falls","Akron Falls Park","45551258"
"683928139","http://www.funpark-de-valkenier.com/","De Valkenier (pretpark)","45602492"
"650310183","http://www2.erie.gov/parks/index.php?q=emery-park","Emery Park","45600833"
"649555469","http://www.parcocappeller.com/","Parco faunistico Cappeller","45492669"
"678694327","http://www.passaiccountynj.org/index.aspx?NID=251","Friendship Park (Bloomingdale, NJ)","47428748"
