"label","Link from a Wikipage to an external page","Wikipage page ID","Wikipage revision ID"
"Fr. Agnel Stadium","http://www.agnelhamara.net/","47393470","677724969"
"Gandhinagar Gymkhana","","",""
"Garrison Ground","http://cricketarchive.com/Archive/Grounds/14/1065.html","47725804","679541353"
"Glenorchy Ice Skating Rink","http://www.iceskatingtasmania.com.au/","47988743","683716276"
"Grasim Industries Ground","","",""
"Hala Sportowa Częstochowa","","46828089","682332418"
"Hindustan Zinc Limited Ground","","",""
"Hram Sport Hall","http://www.rkjugovic.org.rs/","45677515","656121159"
"Husky Field (softball)","","46548226","680094753"
"Ispat Stadium","","",""
"Jubilee Maidan Ground","","",""
"Judges Field","","",""
"Kamla Club Ground","","47718285",""
"MPCA Ground","","47725736",""
"Macquarie Ice Rink","http://www.macquarieicerink.com.au","47989081","683716332"
"Madhya Pradesh Cricket Association Ground","","47725671","679570634"
"Maharaja of Benares Palace Ground","","",""
"Marymoor Velodrome","http://velodrome.org","46438753","656999917"
"Metallurgical & Engineering Consultant Ltd Sail Stadium","","",""
"Nehru Stadium, Hubli","","",""
