"before","display","Wikipage revision ID","Wikipage page ID","label","Form","Link from a Wikipage to an external page","cpu","gpu"
"http://dbpedia.org/resource/BQ_Aquaris_E4.5_Ubuntu_Edition","1280","682938030","47927509","Aquaris E5 HD Ubuntu Edition","http://dbpedia.org/resource/Form_factor_(mobile_phones)","http://www.bq.com/gb/aquaris-e5-ubuntu-edition","E5 : Quad-core Cortex A7 up to 1.3Ghz MediaTek","Mali 400-MP2 up to 500 MHz"
"","960","682709630","47927639","BQ Aquaris E4.5 Ubuntu Edition","http://dbpedia.org/resource/Form_factor_(mobile_phones)","http://www.bq.com/gb/aquaris-e4-5-ubuntu-edition","Quad-core Cortex A7 up to 1.3 GHz MediaTek","Mali 400 up to 500 MHz"
"","","683798820","46338633","BlackBerry Leap","","http://ca.blackberry.com/smartphones/blackberry-leap.html","Krait, 1.5 GHz dual-core",""
"","","680639205","47790772","Cherry Mobile Flare","","http://cherrymobile.com.ph/flare-series","",""
"","diagonal IPS LCD 960×540 px qHD 256 ppi supporting 16M colours","678673758","47315745","Fairphone 1","slate","https://fairphone.com","MediaTek MTK6589  1.2 GHz",""
"","","681891423","47315930","Fairphone 2","","https://fairphone.com","",""
"","IPSLCD capacitive touchscreen, 16M colors, 445 ppi","683582408","47685704","Huawei Honor 6","http://dbpedia.org/resource/Touchscreen","http://www.huaweidevice.com/worldwide/productFeatures.do?pinfoId=3526&directoryId=6001&treeId=3745&tab=0","1.7","Mali-T628 MP4"
"","","683575813","47959180","Huawei Watch","","http://consumer.huawei.com/minisite/worldwide/huawei-watch/index.htm","Qualcomm Snapdragon 400 APQ8026 Quad 1.2GHz",""
"http://dbpedia.org/resource/IPad_Mini_3","","683932446","47768517","IPad Mini 4","","http://www.apple.com/ipad-mini-4","",""
"","","655367104","45699734","ISmartAlarm","","http://iSmartAlarm.com","",""
"","","683895980","48004028","Itvmediacenter","","http://iTVmediaCenter.com","",""
"","","683856521","45647728","全新MacBook","","https://www.apple.com/macbook","",""
"","","683224606","45653634","Micro Bit","","http://microbit.co.uk","",""
"","","683923218","47926178","Nexus 5X","","https://www.google.com/nexus/5x","1.8",""
"","","681678100","46194161","NodeMCU","","http://www.nodemcu.com","",""
"","","677117356","46285175","SIG SAUER P320","","http://www.sigsauer.com/CatalogProductList/pistols-P320.aspx","",""
"","480","682823418","46834722","سامسونغ غالاكسي كور برايم","","http://www.samsung.com/uk/consumer/mobile-devices/smartphones/others/SM-G360FHAABTU/Official","1.2","Adreno 306"
"","2560","681705064","46964203","Samsung Galaxy S6 Edge","","http://www.att.com/cellphones/samsung/galaxy-s6-active.html","&bull; Quad-core 1.5 GHz Cortex A-53",""
"","","681106655","47728753","Samsung Galaxy Xcover 3","","http://www.samsung.com/uk/consumer/mobile-devices/smartphones/others/SM-G388FDSABTU/","Quad-core, 1.2GHz ARM Cortex A53",""
"","","682723161","47655719","Sony Xperia Z3 Tablet Compact","","http://www.sonymobile.com/global-en/products/tablets/xperia-z3-tablet-compact/#tabs","",""
