"Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"http://bluebirdtheater.net","31989115","Bluebird Theater","598484951"
"","33704212","Sandra Feinstein-Gamm Theatre","651199559"
"","","مسرح مدينة برنو",""
"http://www.cinestar.com.pk/","34867996","CineStar IMAX Lahore","629295266"
"","","Durham Performing Arts Center",""
"","","La Boite Theatre Company",""
"","39762457","Théâtre municipal d'Oulu","568375307"
"","","The Paris Theater (Manhattan)",""
"","","Dante Hall Theater",""
"http://www.encoredinnertheatre.com","39597499","Encore Dinner Theatre","675348994"
"","","Eugene O'Neill Theatre",""
"","","Ovens Auditorium",""
"","","Peace Center",""
"","","Raymond F. Kravis Center for the Performing Arts",""
"","","Riverside Municipal Auditorium",""
"","","Pabst Theater",""
"","","Royce Hall",""
"","","Severance Hall",""
"","","Avalon Theatre",""
"","","Lincoln Theater (Yountville, California)",""
