"Link from a Wikipage to an external page","Wikipage revision ID","Wikipage page ID","label"
"http://www.andpizza.com","682697529","47858476","&pizza"
"","","","16 Handles"
"","","46341305","33m2 (33 square meters) - DIY retail network"
"http://www.360golfholidays.com","657362091","46445633","360 Golf Holidays"
"http://www.411locals.com","683269728","47959457","411 Locals"
"","667370203","46950069","4 Pines Brewing Company"
"http://www.808audio.com/","679778201","46924215","808 Audio"
"","","","Конструкторское бюро химического машиностроения имени А. М. Исаева"
"http://travelwest.info/park-ride","683563526","47871921","A4 Bath Road park and ride (Bristol)"
"http://www.abcfws.com/","664446033","46398280","ABC Fine Wine & Spirits"
"http://www.abs-cbnnews.com/","683625073","46380382","ABS-CBNnews.com"
"http://www.aginsurance.be/","660250153","46487106","AG Insurance"
"http://amata.com/site/index.php","677582114","46755181","AMATA Corporation PCL"
"http://www.apeksbank.com.ua","683891216","48010185","APEKS-BANK"
"http://www.aramccogermany.com/","680236740","45678697","ARAMCCO in Germany"
"","","46614354","ARC Ratings"
"http://www.att.com.mx/","683749032","48000550","AT&T Mexico"
"http://www.aukom.info/english","683518767","47371998","AUKOM"
"http://www.twosome.co.kr/","682837776","46423867","A Twosome Place"
"http://www.adnic.ae/en/","678445409","47661836","Abu Dhabi National Insurance Company"
