"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"14179768","Yamaha RD 500 LC","http://auto.howstuffworks.com/1985-yamaha-rz500.htm","683203864"
"","Hero Honda CBZ","",""
"","Indian Scout (motorcycle)","",""
"","Ducati Bronco","",""
"","هوندا أفياتور","",""
"","Honda Cub F","",""
"36473879","Honda Joker","","573495124"
"","Suzuki Katana","",""
"905332","Yamaha DragStar 650","http://www.starmotorcycles.com/","670841095"
"12249384","هوندا سي بي 350","http://web.archive.org/web/20070930235701/http:/powersports.honda.com/the_story/heritage/heritage_milestone.asp?Decade=1970&TargetUrl=Milestone/Milestone_Model_0089.asp&bhcp=1","683508533"
"45390085","Lightning LS-218 E","","658984415"
"13769284","Aprilia RS 50","http://www.aprilia.com/en-US/Model/55/RS+50/Overview.aspx","610484803"
"","Honda NCZ50 Motocompo","",""
"","Ducati Cucciolo","",""
"","هوندا اكتيف","",""
"32340552","Aprilia RS4 125","","675568265"
"7952061","بي إم دبليو آر1150جي اس","http://www.bmbikes.co.uk/specpages/R1150GS.htm","560943022"
"22371637","Ducati 98","http://books.google.com/?id=AHSlknpjrgAC","562902621"
"","Hero Honda Karizma ZMR","",""
"","Honda Pacific Coast","",""
