"label","Sterbedatum"
"Sir Thomas Lyttelton, 4th Baronet","1751-09-14"
"William Douglas, IV baronetto","1783"
"Sir William Russell, 1st Baronet, of Chippenham","1654"
"Sir Charles Cockerell, 1st Baronet","1837-01-06"
"Sir Francis Lowe, 1st Baronet","1929-11-12"
"Arthur Maxwell, 11th Baron Farnham","1957-02-05"
"Sir James Macdonald, 2nd Baronet","1832-06-29"
"Sir Thomas Lee, 3rd Baronet","1749"
"George Sleight",""
"Sir David Llewellyn, 1st Baronet","1940-12-15"
"Sir Francis Kinloch, 3rd Baronet","1747-03-02"
"Sir George Elliot, 2nd Baronet","1895-11-15"
"Sir Hew Dalrymple, 2nd Baronet","1790-11-24"
"Sir John Douglas, 3rd Baronet","1778-11-13"
"Sir John Hoskyns, 2nd Baronet","1705-09-12"
"Sir John Kinloch, 2nd Baronet",""
"Sir John Mordaunt, 5th Baronet","1721-09-06"
"Sir Ralph Assheton, 2nd Baronet, of Middleton","1716-05-03"
"Sir Robert Newman, 1st Baronet","1848-01-24"
"Sir Thomas Metcalfe, 1st Baronet",""
