"label","Wikipage page ID"
"ASN Neuro","46388206"
"A Patriot's Act",""
"Aaj Samaj","46608435"
"Addictive Behaviors","47392548"
"Affairs Today","47364739"
"Agro FOOD Industry Hi Tech","45626768"
"Airline Highway (play)","46919559"
"AlVolante",""
"American Journal of Industrial Medicine",""
"An Involuntary Spy",""
"Ancient TL","46755116"
"Anglican Theological Review","47660465"
"Ani - Imo",""
"Annual Reports on the Progress of Chemistry, Section A",""
"Archeologia Viva",""
"Archives Italiennes de Biologie","45708811"
"Archives of Microbiology","47732636"
"Arvopaperi",""
"Auf einen Blick",""
"Avantages (magazine)",""
