"birth place","Geburtsort","Geburtsdatum","label"
"Kédougou, Senegal","http://dbpedia.org/resource/Kédougou","1994-03-20","Mamadou Sylla Diallo"
"L'Hospitalet, Spain","http://dbpedia.org/resource/L'Hospitalet_de_Llobregat","1991-06-22","Marc Caballé"
"England","","1994-08-19","Martha Harris (footballer)"
"http://dbpedia.org/resource/Trenčín","http://dbpedia.org/resource/Trenčín","","Martin Šulek"
"http://dbpedia.org/resource/Ukraine","http://dbpedia.org/resource/Ukraine","","Мысык, Марьян Олегович"
"http://dbpedia.org/resource/Vučitrn","http://dbpedia.org/resource/Vučitrn","","Milot Rashica"
"http://dbpedia.org/resource/Budapest","http://dbpedia.org/resource/Budapest","","Máté Vida"
"http://dbpedia.org/resource/Bangkok","http://dbpedia.org/resource/Bangkok","","Napapon Sripratheep"
"http://dbpedia.org/resource/Buenos_Aires","http://dbpedia.org/resource/Buenos_Aires","","Nicolás Tripichio"
"Manchester, England","http://dbpedia.org/resource/Manchester","1997-01-17","Nyal Bell"
"http://dbpedia.org/resource/Ukraine","http://dbpedia.org/resource/Ukraine","1993-02-14","Луценко, Олег Александрович"
"http://dbpedia.org/resource/Kiev","http://dbpedia.org/resource/Kiev","","Козак, Александр Сергеевич"
"","http://dbpedia.org/resource/Ukraine","","Зинченко, Александр Владимирович"
"","http://dbpedia.org/resource/Ukraine","","Савченко, Алексей Витальевич"
"http://dbpedia.org/resource/Lviv","http://dbpedia.org/resource/Lviv","","Кузык, Орест Тарасович"
"http://dbpedia.org/resource/Romania","http://dbpedia.org/resource/Romania","","Ovidiu Popescu"
"http://dbpedia.org/resource/South_Korea","http://dbpedia.org/resource/South_Korea","1955-04-12","Park Jong-won"
"http://dbpedia.org/resource/Chernihiv","http://dbpedia.org/resource/Chernihiv","","Полегенько, Павел Игоревич"
"http://dbpedia.org/resource/Ukraine","http://dbpedia.org/resource/Ukraine","1994-07-10","Переверза, Пётр Иванович"
"Manresa, Spain","http://dbpedia.org/resource/Manresa","1991-08-22","Pol Freixanet"
