"Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"http://www.4fff.com/product_detail-0-110.aspx","28119486","OYO","680980510"
"","","Acorn Atom",""
"http://www.amazon.com/gp/product/B00CX5P8FC/ref=topnav_storetab_aftv","42380392","Amazon Fire TV","682697890"
"","","Apple Thunderbolt Display",""
"","","Eee Box",""
"","11680860","Asus Eee PC",""
"","","ASUS Eee Top",""
"","2095675","Atari Coldfire Project","679531272"
"","","Canon Cat",""
"","","EnTourage eDGe",""
"","","Grundy NewBrain",""
"http://enose.jpl.nasa.gov/publications/99-0780.pdf","1352818","HP 200LX","678631492"
"http://www.skolob.co.uk/skolob/index.php?op=ViewArticle&articleId=2&blogId=1","13258459","HP95LX","678911742"
"http://www.europe.htc.com/z/pdf/products/1854_P4350_PRODSHT_FRNT.pdf","11488219","HTC P4350","675467217"
"","","HTC Tornado",""
"http://dish.com/technology/hopper/","36060165","Hopper (DVR)","664778889"
"","","آي بود تاتش",""
"","","كيندل فاير",""
"","","إل جي eXpo (موبايل)",""
"","","Loki (computer)",""
