"label","Wikipage page ID"
"Chang'e 5","36190269"
"Chang'e 5-T1","44108241"
"Chang'e 6","44163351"
"Composante Spatiale Optique","42531230"
"Europa Clipper","41356379"
"ExoMars Trace Gas Orbiter",""
"Lunar Prospector",""
"Mars Global Surveyor",""
"Opportunity (rover)",""
"Rosetta (spacecraft)",""
"Vanguard 2","746389"
"Vanguard 3","746392"
"Wilkinson Microwave Anisotropy Probe",""
"Ōsumi (satellite)",""
"Insat 3E","30156089"
"Luna E-1 No.1","2309588"
"Nanosat-1B","27666333"
"プログレスM-01M","22318037"
"Progress M-16M","36611227"
"STS-36","497738"
