"Sterbeort","death place","label"
"http://dbpedia.org/resource/Texas_Longhorns_football","http://dbpedia.org/resource/Houston","Freddie Joe Steinmark"
"","","Michael Beaty"
"","","Abe Cohen"
"","","Al-Hajj Shabazz"
"","","Alden Darby"
"","","Ashaad Mabry"
"http://dbpedia.org/resource/Miami-Dade_County,_Florida","http://dbpedia.org/resource/Miami-Dade_County,_Florida","Bernie Halstrom"
"","","Bill Armstrong (guard)"
"","","Bill Austin (American football)"
"http://dbpedia.org/resource/Chicago","http://dbpedia.org/resource/Chicago","Bill Fortune"
"http://dbpedia.org/resource/Royal_Oak,_Michigan","http://dbpedia.org/resource/Royal_Oak,_Michigan","Birtie Maher"
"","","Blake Renaud"
"","","Buster Barnett"
"","","C. J. Goodwin"
"","","C. J. Prosise"
"","","Cameron Clear"
"","","Cameron Stingily"
"","","Chris Jones (center)"
"","","Chuck Reed (gridiron football)"
"","","Damian Copeland"
