"label","Wikipage page ID","Wikipage revision ID"
"Abdounodus","47482983","675466816"
"Acanthobothrium bullardi","47932080","683190766"
"Acanthobothrium dasi","47932104","683190167"
"Acanthobothrium rajivi","47932111","683190503"
"Acanthobothrium soberoni","47932131","683189914"
"Ace of Aces (horse)","47500631",""
"Aconopterus cristatipennis","47165109","670788483"
"Aconopterus strandi","47165110","670788677"
"Acutitornus kalahariensis","47413884","674352605"
"Acutitornus leucostola","47413887","674352654"
"Acutitornus liebenbergi","47413889","674352702"
"Acutitornus munda","47413890","674352747"
"Acutitornus munroi","47413891","674352786"
"Aeolotrocha delograpta","47413907","674353923"
"Aeolotrocha generosa","47413914","674354415"
"Aeolotrocha paroptila","47413917","674353994"
"Aeolotrocha phaeoptera","47413921","674354064"
"Afrikanischer Goldwolf","47398884","681162108"
"Agnes World","",""
"Agnippe abdita","47307702","672588828"
