"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Odessa","Иллой-Айет, Владис-Эммерсон","http://dbpedia.org/resource/Odessa"
"http://dbpedia.org/resource/Ukraine","Щетинин, Владислав Сергеевич","http://dbpedia.org/resource/Ukraine"
"","Vladyslav Voytsekhovskyi","http://dbpedia.org/resource/Kiev_Oblast"
"","Акимов, Вячеслав Валерьевич","http://dbpedia.org/resource/Odessa"
"","Xu Yanlu","http://dbpedia.org/resource/Jiangsu"
"http://dbpedia.org/resource/Zaporizhia","Клименчук, Егор Александрович","http://dbpedia.org/resource/Zaporizhia"
"http://dbpedia.org/resource/Ukraine","Мурашов, Евгений Игоревич","http://dbpedia.org/resource/Ukraine"
"http://dbpedia.org/resource/Ukraine","Немтинов, Евгений Сергеевич","http://dbpedia.org/resource/Ukraine"
"http://dbpedia.org/resource/Donetsk","Yevhen Yefremov","http://dbpedia.org/resource/Donetsk"
"http://dbpedia.org/resource/Ukraine","Yuriy Hluschuk","http://dbpedia.org/resource/Ukraine"
"","Yuriy Kolomoyets","http://dbpedia.org/resource/Dnipropetrovsk_Oblast"
"http://dbpedia.org/resource/Ukraine","Тома, Юрий Юрьевич","http://dbpedia.org/resource/Ukraine"
"http://dbpedia.org/resource/Santa_Cruz_de_la_Sierra","Éder Jordan","http://dbpedia.org/resource/Santa_Cruz_de_la_Sierra"
"http://dbpedia.org/resource/Bardejov","Adrián Leško","http://dbpedia.org/resource/Bardejov"
"Calafell, Spain","Alejandro López de Groot","http://dbpedia.org/resource/Calafell"
"http://dbpedia.org/resource/Kherson","Anatoliy Masalov","http://dbpedia.org/resource/Kherson"
"Capanema, Brazil","Pará (Fußballspieler)","http://dbpedia.org/resource/Capanema"
"http://dbpedia.org/resource/Dnipropetrovsk","Кича, Антон Владиславович","http://dbpedia.org/resource/Dnipropetrovsk"
"Nova Odessa, Brazil","Bruno Paulista","http://dbpedia.org/resource/Nova_Odessa"
"","Damián Pérez","http://dbpedia.org/resource/Buenos_Aires_Province"
