"Geburtsort","birth place","label"
"http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/United_States","David Juskow"
"http://dbpedia.org/resource/Winston-Salem,_North_Carolina","Winston-Salem, North Carolina, U.S.","Jerrod Carmichael"
"http://dbpedia.org/resource/Manila","http://dbpedia.org/resource/Manila","Joy Viado"
"http://dbpedia.org/resource/Huntingdon_Valley,_Pennsylvania","Huntington Valley, Pennsylvania, U.S.","Robbie Chernow"
"http://dbpedia.org/resource/Tehran","http://dbpedia.org/resource/Tehran","Seyed Mohammad Hosseini (presenter)"
"http://dbpedia.org/resource/Santa_Clara,_California","Santa Clara, California, United States","Shelby Fero"
"http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/United_States","Abbott and Costello"
"","","Alistair McGowan"
"","","Bill Foster (perfomer)"
"","","Conan O'Brien"
"","","Eddie Izzard"
"","","Frank Potenza"
"","","George Lopez"
"","","Jack Dee"
"","","Mike Birbiglia"
"","","Pablo Francisco"
"","","Pete Donaldson"
"","","Seth Herzog"
"","","Steven Wright"
"","","Tony Martin (comedian)"
