"Wikipage revision ID","Link from a Wikipage to an external page","label","Wikipage page ID"
"682891964","http://www.wwe.com/shows/nightofchampions","Night of Champions (2010)","27902643"
"681804696","","Bash at the Beach","1301310"
"677021504","","CMLL Super Viernes (February 2010)","27122219"
"","","Bash at the Beach (1996)",""
"","","Reyes de Aire",""
"673151411","","EMLL 3rd Anniversary Show","37397354"
"676351965","http://www.luchalibreaaa.com/eventos-magnos/triplemania/item/120-tripleman%C3%ADa-xvii-aqu%C3%AD-se-escribe-la-historia.html","TripleManía XVII","21716566"
"","","Infierno en el Ring (2008)","24436729"
"677240320","","Infierno en el Ring (2014)","44407593"
"676936670","","Infierno en el Ring (2012)","37209220"
"682509215","","Wrestle Kingdom 9","43521887"
"677257191","","Torneo Gran Alternativa","12998720"
"","","Bad Blood 2004",""
"","","In Your House 13: Final Four",""
"676611193","","Verano de Escándalo (2010)","27792123"
"673151867","","EMLL 27th Anniversary Show","37754028"
"681722150","","Border Wars (2012 wrestling event)","35810699"
"677035175","","Border Wars (2013)","39026851"
"","","DGUSA Enter the Dragon",""
"","","DGUSA Untouchable",""
