"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"Agios Mamas, Chalkidiki","671882465","http://www.interalex.net/search?q=agios+mamas","46400897"
"Asmoli (Assembly constituency)","681779773","http://uplegisassembly.gov.in/default.htm","47727318"
"Bilari (Assembly constituency)","681473020","http://uplegisassembly.gov.in/default.htm","47727294"
"Chandausi (Assembly constituency)","681757644","http://uplegisassembly.gov.in/default.htm","47727259"
"Chunghyeon-dong","671987138","http://eng.sdm.go.kr/intro/intro02_e.php?m=4&sub=4","46948560"
"Dhanaura (Assembly constituency)","683021374","http://uplegisassembly.gov.in/default.htm","47944559"
"Itaewon-dong","681604107","http://www.yongsan.go.kr/eng/","46930572"
"Kalyves Polygyrou","665906532","http://www.interalex.net/search?q=kalyves+polygyrou","46297501"
"Moradabad Rural (Assembly constituency)","680544261","http://uplegisassembly.gov.in/default.htm","47727426"
"Municipality of Thessaloniki","","",""
"Secret Rocks Nature Reserve","","",""
"Special Jurisdiction of the Armed Forces and Chaplaincy","","","47932849"
"Telowie Gorge Conservation Park","","",""
"Thakurdwara (Assembly constituency)","679910971","http://uplegisassembly.gov.in/default.htm","47727514"
"The Dutchmans Stern Conservation Park","","",""
"Wabma Kadarbu Mound Springs Conservation Park","","",""
"Diocese of Churches for the Sake of Others","","",""
"Kundarki (Assembly constituency)","681346045","http://uplegisassembly.gov.in/default.htm","47609197"
"Moradabad Nagar (Assembly constituency)","680542786","http://uplegisassembly.gov.in/default.htm","47605437"
"Sambhal (Assembly constituency)","677641920","http://uplegisassembly.gov.in/default.htm","47600003"
