"label","Geburtsort","birth place"
"ジャーモール・チャーロ","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/United_States"
"Mark de Mori","",""
"Alejandra Oliveras","http://dbpedia.org/resource/San_Salvador_de_Jujuy","Jujuy, Argentina"
"Andy Till","http://dbpedia.org/resource/Perivale","Perivale, London, England"
"Eduardo Corletti","http://dbpedia.org/resource/Quilmes","Quilmes, Argentina"
"Erica Farias","http://dbpedia.org/resource/Buenos_Aires","Buenos Aries, Argentina"
"Erkan Teper","http://dbpedia.org/resource/North_Rhine-Westphalia",""
"Harry Dhami","http://dbpedia.org/resource/Kent","Gravesend, Kent, England"
"Jamie Conlan","http://dbpedia.org/resource/Northern_Ireland","http://dbpedia.org/resource/Northern_Ireland"
"Johnny Hill","",""
"Juliette Winter","http://dbpedia.org/resource/Whitehaven",""
"Kali Reis","http://dbpedia.org/resource/Providence,_Rhode_Island","http://dbpedia.org/resource/Providence,_Rhode_Island"
"Keith Saunders (boxer)","http://dbpedia.org/resource/Australia",""
"Ma Yiming (boxer)","http://dbpedia.org/resource/Dalian","http://dbpedia.org/resource/Dalian"
"Michel Soro","http://dbpedia.org/resource/Ivory_Coast","http://dbpedia.org/resource/Ivory_Coast"
"Mike Glover (boxer)","http://dbpedia.org/resource/Lawrence,_Massachusetts",""
"Qiu Xiaojun (boxer)","http://dbpedia.org/resource/Suzhou","http://dbpedia.org/resource/Suzhou"
"Ray Bronson","http://dbpedia.org/resource/Webster_City,_New_York","Webster City, Iowa"
"Roberto Bolonti","http://dbpedia.org/resource/Buenos_Aires","Buenos Aires, Argentina"
"Tan Teng Kee (boxer)","http://dbpedia.org/resource/Singapore","http://dbpedia.org/resource/Singapore"
