"label","Center","Link from a Wikipage to an external page","Wikipage revision ID","Wikipage page ID"
"Physiotherapy Evidence Database","http://dbpedia.org/resource/George_Institute_for_Global_Health","http://www.pedro.org.au/","678692461","47675330"
"Atlas of UTR Regulatory Activity","","","",""
"Cambridge Structural Database","","http://webcsd.ccdc.cam.ac.uk/","679416022","12799573"
"Crystallography Open Database","","http://nanocrystallography.net","670389599","34610793"
"Database of Interacting Proteins","","","",""
"Integrated Microbial Genomes System","","","",""
"Online Mendelian Inheritance in Man","","http://www.omim.org/","676365933","670449"
"VISTA (comparative genomics)","","http://genome.lbl.gov/vista/index.shtml","672062386","22454943"
"人类蛋白质组计划","","","",""
"Gene Disease Database","","http://rgd.mcw.edu/","678851087","44248347"
"NCBI Epigenomics","","http://www.ncbi.nlm.nih.gov/geo/","671398039","31849528"
"TIGR plant transcript assembly database","","http://plantta.tigr.org","637936771","30494874"
"ChemProt","","http://www.cbs.dtu.dk/services/ChemProt","677480134","30357527"
"Probabilistic Approach for Protein NMR Assignment Validation","University of Alberta","http://panav.wishartlab.com","651249492","42516350"
"TopFIND","","","",""
"List of MeSH codes","","","","5060330"
"كيم سبايدر","","","",""
"BindingDB","","http://bindingDB.org/","526148873","31213240"
"Bio2RDF","","http://bio2rdf.org","636623353","30341060"
"CancerResource","","http://bioinf-data.charite.de/cancerresource/","640267655","30356318"
