"dates","FB Page","attendance","label","Link from a Wikipage to an external page","Wikipage page ID","Wikipage revision ID"
"--07-30","https://www.facebook.com/Festival.Jarash","150000","Jerash Festival","http://www.jerashfestival.jo/Aboutusar.aspx","47713285","681098101"
"","","","Komikazen","","46297004",""
"","","115","MURAL Festival","http://muralfestival.com","47891749","682247543"
"","","1500","Major All Stars Season 1","https://www.youtube.com/watch?v=qsIcLwfeOrM","46721638","673420729"
"--08-23","https://www.facebook.com/newthinkjo?fref=ts","14000","New Think Festival","http://www.ntfestival.com","47703624","679191829"
"","","","Nordlysfestivalen","http://www.nordlysfestivalen.no","46514846","672383506"
"","","","Olavsfestdagene","","",""
"","","","Polarjazz","http://www.polarjazz.no","46580382","675244866"
"","","","Pstereo Festival","","",""
"","","","Punktfestivalen","","",""
"","","","Re:animation","http://reanimation.jp/","46302202","682744870"
"","","","RefME","http://www.refme.com","47700434","680938395"
"","","","Royal Caledonian Ball","","",""
"","","100000","Taste of Asia","http://www.taste-of-asia.ca/","46849763","680532762"
"March and October","","","The Texas Mile","http://www.texasmile.net/","46375893","659889022"
"","","35000","Top Marques Monaco","http://TopMarquesMonaco.com","47857707","682165887"
"","","","Trondheim Jazz Festival","","",""
"","","","Wearable Technology Show","http://www.wearabletechnologyshow.net","47391066","683619649"
"","","","WhoFest","","46778785",""
"","","","Wiki Loves Earth","http://wikilovesearth.org","46712208","674038210"
